Date;Location;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustDir;WindGustSpeed;WindDir9am;WindDir3pm;WindSpeed9am;WindSpeed3pm;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;Cloud9am;Cloud3pm;Temp9am;Temp3pm;RainToday;RainTomorrow
2017-08-05;Canberra;5.08;9.57;2.1;;;NO;11.32;ONO;N;8.23;5.7;66;81;1012;1013;40;0;8.12;5.12;Yes;Yes
2017-08-06;Canberra;4.96;12.33;3.88;;;NO;11.32;NNO;NNO;11.32;4.63;54;87;1006;1009;40;75;11.12;7.12;Yes;Yes
2017-08-07;Canberra;3.78;7.9;10.47;;;NO;12.35;NNO;NNE;8.23;2.6;87;93;1009;1012;75;75;4.12;4.12;Yes;No
2017-08-08;Canberra;1.27;12.37;0.0;;;O;8.75;NO;NO;7.2;4.63;61;87;1018;1022;20;0;9.12;4.12;No;No
2017-08-09;Canberra;3.15;15.16;0.0;;;NNO;7.2;N;NNE;5.14;0.51;67;87;1020;1021;0;0;12.12;3.12;No;No
2017-08-10;Canberra;1.87;15.58;0.0;;;NNO;9.77;NO;N;9.3;2.6;51;62;1013;1014;0;0;13.12;10.12;No;No
2017-08-11;Canberra;6.63;14.5;0.0;;;ONO;10.8;ONO;NO;8.23;5.7;47;66;1016;1018;20;0;12.12;7.12;No;No
2017-08-12;Canberra;6.27;13.96;0.0;;;O;10.29;NNO;NNO;5.7;5.7;62;66;1019;1020;40;40;11.12;10.12;No;No
2017-08-13;Canberra;2.07;15.29;0.0;;;NO;8.23;NNO;N;7.2;3.1;58;70;1020;1021;40;0;12.12;4.12;No;No
2017-08-14;Canberra;0.79;17.54;0.0;;;O;7.72;NO;NNO;7.2;2.1;41;80;1016;1016;20;0;15.12;2.12;No;Yes
2017-08-15;Canberra;1.85;15.46;2.45;;;NO;11.83;N;SE;5.7;3.1;72;82;1007;1003;100;100;14.12;12.12;Yes;Yes
2017-08-16;Canberra;8.03;12.4;5.14;;;ONO;10.8;ONO;NO;9.8;4.6;54;76;1005;1009;20;0;11.12;8.12;Yes;Yes
2017-08-17;Canberra;6.06;13.65;3.27;;;ONO;12.86;NO;ONO;11.83;6.7;50;87;1004;1007;40;75;12.12;7.12;Yes;Yes
2017-08-18;Canberra;3.95;8.79;4.02;;;ONO;11.83;O;ONO;6.7;5.7;70;70;1010;1013;40;0;6.12;5.12;Yes;No
2017-08-19;Canberra;-1.1;9.81;0.0;;;S;8.75;SSE;S;6.2;1.5;42;69;1021;1023;0;0;8.12;2.12;No;No
2017-08-20;Canberra;-2.2;12.33;0.0;;;S;4.12;ONO;N;4.12;0;43;87;1020;1020;0;0;11.12;3.12;No;No
2017-08-21;Canberra;1.92;10.59;0.0;;;NO;6.69;NNO;E;6.7;2.6;57;87;1015;1018;75;100;9.12;4.12;No;No
2017-08-22;Canberra;-2.09;15.33;0.0;;;NNO;5.14;NNO;SE;5.14;1.54;38;86;1018;1020;20;0;14.12;1.12;No;No
2017-08-23;Canberra;-2.45;15.18;0.0;;;ONO;5.66;O;NNE;4.63;2.1;47;66;1017;1018;40;75;13.12;8.12;No;No
2017-08-24;Canberra;-1.49;12.33;0.63;;;SSO;4.63;S;OSO;3.6;2.6;54;86;1018;1023;75;0;11.12;1.12;No;
2017-08-25;Canberra;-2.97;13.5;0.0;;;NO;4.63;NO;S;4.63;2.6;40;75;1023;1025;0;0;12.12;2.12;No;
2017-08-26;Canberra;-2.71;14.94;0.0;;;NNO;6.69;N;N;6.7;5.14;44;81;1019;1020;0;0;12.12;5.12;No;Yes
2017-08-27;Canberra;-1.63;9.17;2.22;;;S;9.26;S;S;4.63;3.1;53;69;1016;1018;40;0;7.12;1.12;Yes;No
2017-08-28;Canberra;-0.01;11.12;0.0;;;S;8.23;O;SE;3.6;2.6;53;87;1019;1022;0;40;9.12;2.12;No;No
2017-08-29;Canberra;-1.22;11.59;0.0;;;NO;6.69;NO;S;6.7;1.54;43;93;1020;1021;20;0;10.12;0.12;No;No
2017-08-30;Canberra;-3.96;13.79;0.0;;;S;6.69;SSE;SSE;4.6;4.12;47;56;1022;1027;20;0;13.12;5.12;No;No
2017-08-31;Canberra;-0.89;12.48;0.0;;;S;7.2;SSE;SE;4.63;1.54;38;100;1025;1027;20;0;12.12;0.12;No;No
2017-09-01;Canberra;-2.77;13.9;0.0;;;NNO;5.14;NNO;SE;4.63;1.03;44;80;1021;1022;0;0;13.12;2.12;No;No
2017-09-02;Canberra;-2.96;16.34;0.0;;;NO;7.72;NO;S;7.2;2.1;39;76;1018;1018;0;75;15.12;7.12;No;Yes
2017-09-03;Canberra;2.17;20.92;2.7;;;NO;12.86;ONO;NNO;8.23;3.1;39;57;1006;1010;40;40;16.12;9.12;Yes;Yes
2017-09-04;Canberra;4.91;11.45;2.43;;;NO;11.83;NO;ONO;8.8;6.7;66;81;1006;1009;40;40;9.12;5.12;Yes;Yes
2017-09-05;Canberra;2.88;8.31;4.35;;;ONO;10.8;NO;NO;9.8;8.8;70;87;1009;1009;75;75;7.12;6.12;Yes;Yes
2017-09-06;Canberra;3.73;9.4;4.77;;;ONO;9.26;ONO;NO;6.2;5.14;66;87;1015;1017;75;75;8.12;7.12;Yes;No
2017-09-07;Canberra;4.86;12.08;0.9;;;O;9.77;O;NO;5.7;5.7;61;71;1018;1018;40;75;9.12;8.12;No;Yes
2017-09-08;Canberra;4.39;12.88;1.8;;;ONO;9.77;ONO;NO;9.3;6.7;46;65;1017;1020;40;40;10.12;5.12;Yes;No
2017-09-09;Canberra;0.34;13.04;0.0;;;NO;7.72;NNO;E;6.7;2.6;54;93;1020;1022;20;0;13.12;2.12;No;No
2017-09-10;Canberra;-2.55;15.94;0.0;;;NNO;6.17;NNO;N;5.7;0;41;75;1019;1021;20;0;14.12;3.12;No;No
2017-09-11;Canberra;-1.79;17.84;0.0;;;NNO;7.2;NNO;NNE;6.7;3.1;48;71;1017;1018;0;0;16.12;8.12;No;No
2017-09-12;Canberra;4.61;22.35;0.0;;;NO;10.8;O;N;7.2;2.6;34;54;1012;1009;0;0;19.12;12.12;No;No
2017-09-13;Canberra;10.09;20.06;0.0;;;ONO;10.29;NO;O;6.7;5.7;51;54;1006;1008;40;40;14.12;11.12;No;No
2017-09-14;Canberra;4.84;11.01;0.0;;;ONO;10.29;O;ONO;7.72;7.2;43;66;1014;1017;0;75;9.12;8.12;No;No
2017-09-15;Canberra;6.58;12.4;0.0;;;ONO;9.77;ONO;NO;5.14;7.2;66;71;1019;1019;40;75;10.12;10.12;No;Yes
2017-09-16;Canberra;1.07;13.78;2.01;;;ONO;9.8;S;N;4.12;0;57;80;1020;1024;75;0;10.12;1.12;Yes;No
2017-09-17;Canberra;-4.27;15.52;0.0;;;N;5.14;N;SSO;5.14;1.54;33;69;1023;1025;0;0;14.12;2.12;No;No
2017-09-18;Canberra;-4.57;19.15;0.0;;;NNO;9.77;NNO;ESE;7.72;0.5;24;56;1017;1014;0;0;18.12;5.12;No;No
2017-09-19;Canberra;1.96;13.72;0.0;;;ONO;10.29;ONO;ENE;8.23;1.03;44;75;1017;1020;20;0;12.12;2.12;No;No
2017-09-20;Canberra;-3.48;17.3;0.0;;;NNO;5.66;NNO;N;5.7;0;48;87;1017;1018;0;0;15.12;4.12;No;No
2017-09-21;Canberra;-0.4;20.88;0.0;;;NNO;8.23;N;SSE;7.2;2.1;30;81;1013;1015;0;0;19.12;6.12;No;No
2017-09-22;Canberra;3.01;24.19;0.0;;;NNO;7.72;NO;N;6.7;0;19;57;1012;1013;0;0;22.12;8.12;No;No
2017-09-23;Canberra;3.79;28.91;0.0;;;N;12.35;NNO;NO;7.72;4.63;18;23;1001;1000;75;0;26.12;23.12;No;
2017-09-24;Canberra;12.71;21.56;0.0;;;NO;10.8;ONO;ONO;9.8;6.2;26;33;1003;1005;0;0;19.12;14.12;No;
2017-09-25;Canberra;8.87;16.09;0.0;;;O;10.29;O;ONO;7.72;5.7;47;54;1010;1013;0;0;14.12;11.12;No;No
2017-09-26;Canberra;4.03;18.6;0.0;;;N;6.69;N;E;6.2;2.6;25;87;1015;1017;0;0;17.12;7.12;No;Yes
2017-09-27;Canberra;2.58;22.79;1.97;;;NNO;12.86;S;NNO;1.54;12.9;29;77;1007;1007;0;75;22.12;16.12;Yes;Yes
2017-09-28;Canberra;9.53;18.94;3.59;;;N;9.77;ONO;N;7.72;2.1;42;71;1010;1013;75;75;17.12;10.12;Yes;No
2017-09-29;Canberra;8.16;18.18;0.0;;;ONO;9.77;O;ONO;9.3;5.7;34;47;1012;1013;0;100;17.12;13.12;No;No
2017-09-30;Canberra;6.91;16.55;0.0;;;O;12.35;O;E;7.72;2.6;29;57;1016;1020;0;0;16.12;9.12;No;No
2017-10-01;Canberra;0.92;19.04;0.0;;;N;8.23;NNO;ESE;6.2;2.6;42;70;1019;1022;0;0;18.12;7.12;No;No
2017-10-02;Canberra;3.18;20.9;0.0;;;E;5.66;NNO;SE;3.1;2.1;28;93;1020;1023;0;0;21.12;10.12;No;No
2017-10-03;Canberra;5.44;23.93;0.0;;;NNO;6.69;NO;SSE;5.7;1.54;31;71;1019;1021;0;0;22.12;9.12;No;No
2017-10-04;Canberra;3.6;23.36;0.0;;;NNO;6.69;NNO;SSE;5.7;3.1;20;93;1018;1021;0;0;22.12;10.12;No;Yes
2017-10-05;Canberra;9.28;24.23;1.8;;;ONO;8.75;SO;NO;5.7;5.14;38;63;1013;1013;75;75;22.12;15.12;Yes;No
2017-10-06;Canberra;9.4;19.67;0.0;;;S;8.23;S;S;7.72;4.63;34;66;1017;1022;0;0;18.12;10.12;No;No
2017-10-07;Canberra;2.33;19.1;0.0;;;E;7.2;ENE;ESE;5.14;2.57;42;87;1020;1022;0;75;18.12;8.62;No;Yes
